des,fullname,neo,pha,spkid,moid,e,a,q,i,om,w,ma,tp,per,n,ad
2017 HZ4,(2017 HZ4),True,False,3774134,,0.217,0.91,0.713,1.79,67.6,312,279,2459271.669,317,1.14,1.11
2020 DG4,(2020 DG4),True,False,54005708,,0.313,1.31,0.899,0.598,166,291,226,2459404.693,548,0.657,1.72
2020 GY2,(2020 GY2),True,False,54016527,,0.653,2.43,0.842,5.08,52.2,226,347,2459008.307,1380,0.261,4.01
2020 YA2,(2020 YA2),True,False,54101667,,0.24,0.808,0.615,2.56,263,13.4,166,2459080.826,266,1.36,1
2013 UR1,(2013 UR1),True,False,3653046,,0.73,2.23,0.601,2.7,30.3,272,14.9,2456542.086,1210,0.296,3.85
2007 EN88,(2007 EN88),True,False,3371142,,0.588,2.18,0.898,8.91,354,135,10.5,2454141.094,1180,0.306,3.46
2014 CE,(2014 CE),True,False,3660383,,0.458,1.37,0.743,6.04,133,281,135,2458981.480,586,0.615,2
2019 DG1,(2019 DG1),True,False,3838855,,0.551,2.22,0.999,0.825,356,171,193,2459760.309,1210,0.298,3.45
2015 VP64,(2015 VP64),True,False,3733856,,0.699,2.09,0.63,0.715,44.1,275,15.7,2457286.403,1100,0.326,3.55
2019 QE7,(2019 QE7),True,False,3843720,,0.506,1.9,0.936,3.42,332,319,193,2459642.237,954,0.377,2.86
2013 QM48,(2013 QM48),True,False,3647009,,0.222,1.15,0.895,7.42,331,291,23.9,2459170.623,450,0.8,1.4
2008 WO2,(2008 WO2),True,False,3439560,,0.188,1.03,0.832,2.01,238,85.7,300,2459263.876,379,0.95,1.22
2018 FY2,(2018 FY2),True,False,3802032,,0.746,2.53,0.642,1.31,51.9,35.9,13.2,2458143.767,1470,0.245,4.42
2014 QN266,(2014 QN266),True,False,3683393,,0.0923,1.05,0.955,0.488,171,61.6,33.8,2459163.492,394,0.913,1.15
2017 QT1,(2017 QT1),True,False,3780735,,0.747,2.51,0.635,1.18,312,99.7,348,2458033.515,1450,0.248,4.39
2020 TD8,(2020 TD8),True,False,54075304,,0.317,1.34,0.916,6.15,215,227,7.28,2459189.006,568,0.634,1.77
2020 VA5,(2020 VA5),True,False,54087831,,0.616,2.47,0.948,1.83,227,217,354,2459192.676,1420,0.254,3.99
2012 CR,(2012 CR),True,False,3597331,,0.384,1.78,1.1,2.19,157,33.8,341,2456005.335,869,0.414,2.47
2020 VH5,(2020 VH5),True,False,54087837,,0.493,1.94,0.982,4.83,51.3,13.7,8.17,2459178.176,984,0.366,2.89
2018 PU23,(2018 PU23),True,False,3826850,,0.0842,0.963,0.882,0.828,145,330,22.5,2459178.940,345,1.04,1.04
2015 VK1,(2015 VK1),True,False,3733138,,0.427,0.977,0.56,12,38.1,242,179,2459025.078,353,1.02,1.39
2021 FP2,(2021 FP2),True,False,54132513,,0.294,1.17,0.827,1.24,5.38,254,239,2459355.478,463,0.778,1.52
2012 BW13,(2012 BW13),True,False,3596031,,0.541,1.89,0.867,1.1,311,224,139,2458833.718,949,0.379,2.91
2013 BR15,(2013 BR15),True,False,3624593,,0.52,1.55,0.746,1.95,103,285,32.9,2456244.861,708,0.508,2.36
2014 HD198,(2014 HD198),True,False,3698529,,0.643,2.11,0.755,0.982,220,69.1,344,2456822.425,1120,0.321,3.47
2013 RR43,(2013 RR43),True,False,3648001,,0.64,1.76,0.634,2.01,165,93.2,23.3,2456494.226,853,0.422,2.89
2018 FQ3,(2018 FQ3),True,False,3802056,,0.508,1.83,0.898,7.86,179,314,14.7,2458162.736,901,0.399,2.75
2020 QN4,(2020 QN4),True,False,54051342,,0.241,1.07,0.812,0.383,343,255,169,2459011.319,404,0.891,1.33
2021 CF1,(2021 CF1),True,False,54110067,,0.603,2.47,0.98,15,136,323,7.9,2459220.366,1420,0.254,3.96
2019 NK1,(2019 NK1),True,False,3843113,,0.391,1.56,0.948,3,281,318,288,2459341.863,709,0.508,2.16
2021 CA6,(2021 CA6),True,False,54115837,,0.169,1.09,0.903,7.74,145,66.3,260,2459315.935,414,0.87,1.27
2000 SZ162,(2000 SZ162),True,False,3054338,,0.168,0.929,0.773,0.889,12.6,133,73.3,2459133.915,327,1.1,1.08
2020 YG2,(2020 YG2),True,False,54101671,,0.63,2.5,0.924,0.717,205,200,7.01,2459172.426,1440,0.25,4.07
2017 KQ27,(2017 KQ27),True,False,3775038,,0.59,2.33,0.957,4.77,257,30.2,350,2459238.312,1300,0.277,3.71
2018 XF2,(2018 XF2),True,False,3836756,,0.618,2.5,0.954,0.967,255,152,190,2459881.401,1440,0.25,4.04
2006 HE2,(2006 HE2),True,False,3330051,,0.157,1.06,0.898,1.18,200,90.8,59.6,2459134.135,401,0.897,1.23
2006 YE,(2006 YE),True,False,3363726,,0.44,1.75,0.976,0.322,253,211,19.2,2459155.630,842,0.428,2.51
2016 TT,(2016 TT),True,False,3760218,,0.507,1.8,0.888,4.75,184,130,283,2459388.425,883,0.408,2.71
2019 WU,(2019 WU),True,False,3893380,,0.611,2.33,0.908,0.65,73.2,29,99.4,2458841.208,1300,0.277,3.76
2005 VP,(2005 VP),True,False,3297389,,0.593,2.36,0.96,5.5,223,134,9.98,2453641.863,1320,0.273,3.75
2018 VC7,(2018 VC7),True,False,3836178,,0.19,0.873,0.707,0.803,60.2,132,78,2459135.979,298,1.21,1.04
2017 RJ2,(2017 RJ2),True,False,3781416,,0.621,1.95,0.738,1.49,177,248,342,2458057.946,993,0.363,3.16
2017 VV12,(2017 VV12),True,False,3789226,,0.405,1.62,0.963,0.2,247,193,169,2458846.666,752,0.479,2.27
2020 SN5,(2020 SN5),True,False,54054668,,0.473,1.46,0.771,0.338,15,273,28.9,2459066.585,646,0.557,2.16
2017 SS12,(2017 SS12),True,False,3781737,,0.342,1.23,0.807,1.2,1.27,284,176,2458958.051,497,0.725,1.65
2008 HC38,(2008 HC38),True,False,3409962,,0.481,1.28,0.664,1.5,214,272,42.3,2454527.296,529,0.681,1.9
2016 WT,(2016 WT),True,False,3763939,,0.447,1.55,0.86,1.19,55.8,304,58.5,2459085.471,708,0.508,2.25
2013 XU21,(2013 XU21),True,False,3654485,,0.618,2.46,0.939,4.4,80.4,34.1,354,2456664.627,1410,0.255,3.98
2016 GU2,(2016 GU2),True,False,3749070,,0.957,2.05,0.0873,10.3,16.5,21,14.1,2457442.356,1080,0.335,4.02
2014 HR197,(2014 HR197),True,False,3698519,,0.586,1.59,0.657,3.58,31.3,278,330,2456833.369,729,0.494,2.51
2003 YS70,(2003 YS70),True,False,3170245,,0.237,1.29,0.983,0.353,271,196,215,2459415.622,534,0.674,1.59
2020 DN3,(2020 DN3),True,False,54005658,,0.526,1.57,0.746,2.08,337,104,172,2458855.525,722,0.499,2.4
2005 UA1,(2005 UA1),True,False,3295791,,0.616,2.12,0.816,0.433,257,71.6,15.5,2453624.888,1130,0.319,3.43
2008 YD3,(2008 YD3),True,False,3441851,,0.541,2.27,1.04,0.303,134,316,0.807,2454819.704,1250,0.289,3.5
2018 PA25,(2018 PA25),True,False,3827130,,0.537,1.35,0.628,11.4,132,78.7,43.6,2458274.685,576,0.625,2.08
2016 WU,(2016 WU),True,False,3763945,,0.175,1.04,0.855,8.41,54.7,273,20.5,2459178.509,385,0.934,1.22
2018 RF5,(2018 RF5),True,False,3828428,,0.583,2.4,0.999,1.76,340,345,225,2459709.602,1360,0.266,3.79
2020 VN6,(2020 VN6),True,False,54088801,,0.603,2.41,0.958,1.77,224,156,7.51,2459142.940,1370,0.263,3.87
2020 WT4,(2020 WT4),True,False,54095170,,0.173,0.868,0.718,0.803,77.4,170,200,2459331.326,295,1.22,1.02
2015 YM1,(2015 YM1),True,False,3738930,,0.205,1.04,0.828,5.24,86.3,270,320,2459243.251,388,0.928,1.25
2018 EV3,(2018 EV3),True,False,3799882,,0.513,1.91,0.929,15.5,165,324,30.1,2459119.965,964,0.373,2.89
2014 HE199,(2014 HE199),True,False,3698554,,0.632,2.39,0.881,5.26,24.8,125,15.6,2456718.935,1350,0.266,3.91
2016 AU193,(2016 AU193),True,False,3740846,,0.668,1.72,0.571,12.3,101,264,22.8,2457340.232,824,0.437,2.87
2019 SG1,(2019 SG1),True,False,3843906,,0.698,2.45,0.739,2.32,184,245,349,2458791.957,1400,0.258,4.15
2008 UA92,(2008 UA92),True,False,3434373,,0.605,2.6,1.03,3.05,39.5,352,1,2454764.223,1530,0.235,4.18
2008 US,(2008 US),True,False,3432646,,0.613,1.61,0.623,5.96,208,90.8,24,2454710.732,747,0.482,2.6
2011 FA23,(2011 FA23),True,False,3560771,,0.591,2.05,0.839,2.16,191,55.6,347,2455691.532,1070,0.335,3.27
2018 WH1,(2018 WH1),True,False,3836296,,0.158,0.864,0.728,4.74,64.4,198,358,2459202.053,293,1.23,1
2006 UJ185,(2006 UJ185),True,False,3354739,,0.579,1.69,0.712,0.901,39.6,74.3,127,2458915.708,805,0.447,2.67
2016 TQ54,(2016 TQ54),True,False,3760682,,0.289,0.943,0.67,1.37,7.72,244,301,2459255.537,334,1.08,1.22
2010 CK19,(2010 CK19),True,False,3508116,,0.15,0.987,0.839,2.26,329,279,295,2459265.350,358,1.01,1.13
2019 KT,(2019 KT),True,False,3841979,,0.616,2.43,0.936,1.07,72.8,211,140,2458659.931,1390,0.259,3.93
2010 VN1,(2010 VN1),True,False,3550308,,0.466,1.63,0.871,3.36,40.6,307,328,2459268.419,761,0.473,2.39
2020 XF4,(2020 XF4),True,False,54099647,,0.229,1.05,0.813,3,85.9,84.7,300,2459266.391,395,0.91,1.3
2012 SU9,(2012 SU9),True,False,3608823,,0.36,0.93,0.595,0.494,323,264,161,2459054.105,327,1.1,1.26
2018 TS6,(2018 TS6),True,False,3835505,,0.214,0.898,0.706,8.92,190,46,327,2459229.098,311,1.16,1.09
2019 FB1,(2019 FB1),True,False,3840703,,0.451,1.76,0.968,3.85,13,204,255,2459449.541,854,0.421,2.56
2011 SE58,(2011 SE58),True,False,3579073,,0.612,1.89,0.735,1.21,5.38,70.8,177,2458733.713,952,0.378,3.05
2019 VE4,(2019 VE4),True,False,3892740,,0.592,2.43,0.992,0.562,221,155,8.3,2458771.506,1390,0.259,3.88
2016 EG28,(2016 EG28),True,False,3745507,,0.571,1.81,0.776,8.11,344,112,5.69,2459186.452,889,0.405,2.84
2018 GG4,(2018 GG4),True,False,3802585,,0.655,2.53,0.873,5.23,30.7,234,350,2458267.797,1470,0.245,4.18
2019 QU3,(2019 QU3),True,False,3843627,,0.459,1.87,1.01,0.542,311,11.9,188,2459647.005,934,0.386,2.73
2014 KC45,(2014 KC45),True,False,3672563,,0.395,1.52,0.919,0.0396,109,186,161,2458894.391,683,0.527,2.12
2017 FC1,(2017 FC1),True,False,3771611,,0.607,2.64,1.04,2.38,175,2.85,314,2459399.030,1570,0.23,4.25
2018 FK5,(2018 FK5),True,False,3802103,,0.297,1.09,0.769,12.2,9.54,270,78.1,2459109.823,418,0.862,1.42
2017 RX17,(2017 RX17),True,False,3781832,,0.668,2,0.665,4.17,346,276,19.9,2457954.162,1030,0.348,3.34
2006 DO62,(2006 DO62),True,False,3324625,,0.505,1.9,0.938,1.44,335,216,349,2453818.309,953,0.378,2.85
2004 XG29,(2004 XG29),True,False,3263533,,0.314,1.41,0.968,0.154,302,111,219,2459440.554,612,0.589,1.85
2014 HJ197,(2014 HJ197),True,False,3698509,,0.167,1.02,0.85,0.829,215,256,84.1,2456683.508,377,0.955,1.19
2017 KC36,(2017 KC36),True,False,3775708,,0.574,2.09,0.889,6.04,244,313,13.1,2457864.387,1100,0.327,3.28
2010 XP,(2010 XP),True,False,3552691,,0.516,2.17,1.05,1.11,82.9,351,359,2455536.637,1170,0.309,3.29
2002 EM7,(2002 EM7),True,False,3117427,,0.363,0.921,0.586,1.56,346,59,170,2459047.956,323,1.12,1.26
2010 XC,(2010 XC),True,False,3552682,,0.325,1.43,0.968,1.22,248,212,344,2455558.930,627,0.574,1.9
2019 BX1,(2019 BX1),True,False,3838016,,0.232,1.27,0.975,3.09,111,338,140,2458997.530,522,0.69,1.56
2016 TC57,(2016 TC57),True,False,3761036,,0.548,2.18,0.985,4.46,20.9,340,113,2458831.099,1170,0.307,3.37
2018 WA1,(2018 WA1),True,False,3836291,,0.139,0.872,0.751,1.81,233,8.38,10.4,2459191.940,298,1.21,0.994
2021 EU4,(2021 EU4),True,False,54131589,,0.626,2.04,0.765,13.7,352,112,346,2459242.408,1070,0.337,3.32
2016 BQ15,(2016 BQ15),True,False,3740954,,0.696,2.09,0.635,0.933,135,87.9,203,2459681.185,1100,0.326,3.55
2018 WA3,(2018 WA3),True,False,3836706,,0.597,1.82,0.733,4.51,66.5,287,319,2459302.041,896,0.402,2.91
2017 BK30,(2017 BK30),True,False,3767160,,0.633,2.62,0.961,1.19,141,24.2,324,2459355.710,1550,0.233,4.27
2015 HO182,(2015 HO182),True,False,3720866,,0.621,2.69,1.02,1.66,314,207,9.5,2457090.076,1610,0.224,4.35
2021 EZ3,(2021 EZ3),True,False,54131388,,0.336,1.35,0.898,6.96,171,307,334,2459241.538,575,0.626,1.81
2018 RR1,(2018 RR1),True,False,3827304,,0.141,1.08,0.923,0.669,352,277,74.8,2459115.857,407,0.884,1.23
2008 BN16,(2008 BN16),True,False,3401189,,0.687,2.21,0.692,5.52,308,98.4,15.7,2454443.924,1200,0.299,3.74
2021 CK3,(2021 CK3),True,False,54111247,,0.543,1.7,0.775,0.917,140,290,20.8,2459206.856,806,0.446,2.62
2020 PX5,(2020 PX5),True,False,54051142,,0.495,1.84,0.931,2.45,141,137,63,2459040.330,915,0.393,2.76
2016 VZ17,(2016 VZ17),True,False,3765030,,0.519,1.93,0.929,0.917,10.5,352,11.6,2457666.061,980,0.367,2.93
2014 WE6,(2014 WE6),True,False,3696401,,0.136,0.969,0.837,0.339,52.6,252,231,2459325.635,348,1.03,1.1
2016 LE10,(2016 LE10),True,False,3753854,,0.619,2.42,0.921,3.25,257,42.2,64.5,2458954.228,1370,0.262,3.92
2016 WN7,(2016 WN7),True,False,3764798,,0.182,0.881,0.721,8.28,240,35.6,101,2459115.777,302,1.19,1.04
2018 DB,(2018 DB),True,False,3799680,,0.557,1.58,0.702,0.265,72.1,159,333,2458218.979,728,0.494,2.47
2012 TU231,(2012 TU231),True,False,3611405,,0.453,1.74,0.953,9.61,19.2,328,209,2459553.225,841,0.428,2.53
2017 TT3,(2017 TT3),True,False,3785754,,0.371,1.45,0.911,0.707,95.2,220,29.9,2457985.611,636,0.566,1.98
2020 UC4,(2020 UC4),True,False,54076013,,0.298,0.959,0.673,0.606,291,217,334,2459225.734,343,1.05,1.25
2008 KT,(2008 KT),True,False,3412749,,0.0848,1.01,0.925,1.98,241,102,36.1,2459163.224,371,0.969,1.1
2020 TZ3,(2020 TZ3),True,False,54057202,,0.599,2.4,0.964,1.33,313,22.7,27.8,2459095.460,1360,0.265,3.84
2011 UD21,(2011 UD21),True,False,3582145,,0.0304,0.979,0.949,1.06,22.3,210,318,2459241.924,354,1.02,1.01
2019 AK12,(2019 AK12),True,False,3837878,,0.542,1.7,0.781,11.9,114,293,331,2459265.310,813,0.443,2.63
2020 VK6,(2020 VK6),True,False,54087866,,0.635,2.58,0.94,1.97,80.4,18.4,359,2459204.726,1510,0.238,4.22
2017 KB3,(2017 KB3),True,False,3774688,,0.204,1.08,0.859,19,58.9,76.2,147,2459033.317,409,0.88,1.3
2011 AZ22,(2011 AZ22),True,False,3555154,,0.576,2.05,0.87,7.37,110,312,11.7,2455537.602,1070,0.336,3.23
2016 TH,(2016 TH),True,False,3760086,,0.259,1.04,0.768,2.32,192,276,284,2459281.545,386,0.933,1.31
2018 RJ3,(2018 RJ3),True,False,3827354,,0.306,1.33,0.922,6.09,165,129,202,2459446.170,560,0.643,1.74
2018 WE,(2018 WE),True,False,3836270,,0.549,1.8,0.814,0.0682,292,183,292,2459367.894,885,0.407,2.79
2011 EM40,(2011 EM40),True,False,3559596,,0.371,1.15,0.723,0.555,174,263,21.6,2459173.410,451,0.799,1.58
2019 UB8,(2019 UB8),True,False,3883103,,0.448,1.53,0.846,0.206,54.7,39.3,193,2459522.331,694,0.519,2.22
2017 DP109,(2017 DP109),True,False,3770290,,0.616,2.38,0.914,3.03,162,38.9,351,2457843.946,1340,0.268,3.85
2013 JM22,(2013 JM22),True,False,3638381,,0.843,2.27,0.355,9.02,62.2,288,347,2456472.322,1250,0.289,4.18
2009 WJ6,(2009 WJ6),True,False,3477696,,0.634,1.77,0.647,5.04,239,263,237,2459493.147,858,0.42,2.89
2015 VL64,(2015 VL64),True,False,3733849,,0.288,0.909,0.647,0.713,51.6,225,60.5,2459147.322,316,1.14,1.17
1993 HP1,(1993 HP1),True,False,3092117,,0.514,2,0.973,8.02,37.1,152,7.93,2449081.723,1030,0.348,3.03
2006 WK130,(2006 WK130),True,False,3362878,,0.682,2.11,0.67,13.8,72.3,277,17.5,2454019.166,1120,0.322,3.55
2007 EE126,(2007 EE126),True,False,3371361,,0.903,3.62,0.35,8.54,170,249,6.49,2454130.232,2510,0.143,6.88
2008 CJ,(2008 CJ),True,False,3401383,,0.57,2.38,1.03,2.23,132,2.52,359,2454500.456,1340,0.268,3.74
2016 WR55,(2016 WR55),True,False,3766079,,0.534,1.62,0.756,5.04,66.6,68.9,337,2457765.367,754,0.477,2.49
2016 FV7,(2016 FV7),True,False,3748337,,0.877,2.03,0.25,10.1,13.7,304,210,2459641.929,1060,0.34,3.82
2017 WY27,(2017 WY27),True,False,3789741,,0.247,1.08,0.811,5.2,243,90.6,327,2459237.421,408,0.883,1.34
2020 QR5,(2020 QR5),True,False,54051397,,0.226,1.14,0.881,2.64,152,105,143,2459024.071,444,0.811,1.4
2001 SD286,(2001 SD286),True,False,3092343,,0.566,2.08,0.904,6.24,183,130,12.8,2452140.314,1100,0.327,3.26
2014 EU,(2014 EU),True,False,3663464,,0.281,1.29,0.93,0.331,187,289,250,2459365.164,537,0.671,1.66
2009 WZ53,(2009 WZ53),True,False,3478650,,0.242,1.14,0.862,32.8,61.6,111,276,2455263.848,443,0.812,1.41
2015 VO142,(2015 VO142),True,False,3735181,,0.126,1.07,0.939,0.284,95.3,20.5,153,2459027.420,407,0.885,1.21
2019 WV1,(2019 WV1),True,False,3893446,,0.328,1.28,0.857,0.74,64.5,290,302,2459285.679,526,0.684,1.69
2011 AD3,(2011 AD3),True,False,3555017,,0.687,2.88,0.9,1.52,298,118,6.88,2455531.435,1780,0.202,4.85
2019 RQ2,(2019 RQ2),True,False,3843827,,0.715,2.75,0.783,0.439,336,79.4,350,2458781.584,1670,0.216,4.72
2016 QY84,(2016 QY84),True,False,3759681,,0.458,1.89,1.03,10.1,161,147,9.69,2457603.867,952,0.378,2.76
2020 BM6,(2020 BM6),True,False,3989151,,0.651,2.47,0.863,0.524,207,213,13.5,2458818.326,1420,0.253,4.08
2008 CB6,(2008 CB6),True,False,3402130,,0.407,1.6,0.95,0.31,240,301,105,2458984.789,741,0.486,2.26
2019 LA2,(2019 LA2),True,False,3842775,,0.335,1.13,0.749,20.5,251,268,158,2459008.302,437,0.825,1.5
2011 UR63,(2011 UR63),True,False,3582512,,0.596,2.24,0.904,4.05,208,132,11.7,2455820.700,1220,0.294,3.57
2014 KS76,(2014 KS76),True,False,3672909,,0.27,0.928,0.677,1.1,62.3,51.3,225,2459323.347,327,1.1,1.18
2015 VN64,(2015 VN64),True,False,3733855,,0.591,1.84,0.753,3.64,223,108,19.6,2457285.812,913,0.394,2.93
2020 AC1,(2020 AC1),True,False,3973542,,0.22,0.861,0.671,6,282,38.2,194,2459334.612,292,1.23,1.05
2018 LV3,(2018 LV3),True,False,3825156,,0.526,2,0.95,9,83.1,217,309,2459348.257,1030,0.348,3.05
2020 VA4,(2020 VA4),True,False,54087767,,0.143,0.985,0.844,0.375,351,304,135,2459067.102,357,1.01,1.13
2004 FY3,(2004 FY3),True,False,3177210,,0.556,1.98,0.877,5.42,360,129,14.5,2453046.471,1020,0.354,3.08
2011 DX4,(2011 DX4),True,False,3557879,,0.657,1.96,0.671,1.04,324,107,18.1,2455567.276,1000,0.359,3.25
2021 CD8,(2021 CD8),True,False,54117602,,0.148,1.15,0.978,0.739,72.3,36.3,340,2459225.386,449,0.802,1.32
2003 DW10,(2003 DW10),True,False,3150191,,0.361,1.45,0.925,2.19,342,221,63.8,2459087.916,635,0.567,1.97
2012 HE31,(2012 HE31),True,False,3603122,,0.393,1.38,0.839,0.532,10.8,275,82,2459065.247,594,0.606,1.93
2013 GW38,(2013 GW38),True,False,3634393,,0.547,2,0.909,2.3,18.1,137,267,2459469.645,1040,0.347,3.1
2007 XB23,(2007 XB23),True,False,3398066,,0.0543,1.04,0.985,8.53,260,193,77.6,2459116.829,388,0.928,1.1
2019 GS19,(2019 GS19),True,False,3841182,,0.588,1.98,0.815,6.6,23,118,233,2459559.788,1020,0.355,3.14
2013 XS21,(2013 XS21),True,False,3654484,,0.495,1.91,0.968,3.08,80.4,341,239,2459526.372,968,0.372,2.86
2019 KY3,(2019 KY3),True,False,3842638,,0.654,2.26,0.781,3.25,74,242,346,2458679.331,1240,0.291,3.73
2007 VD8,(2007 VD8),True,False,3392374,,0.593,2.29,0.933,3.15,43.6,319,8.77,2454378.596,1270,0.284,3.65
2017 FA159,(2017 FA159),True,False,3774032,,0.321,1.4,0.948,0.647,143,78.9,337,2457868.342,603,0.597,1.84
2021 CD,(2021 CD),True,False,54109177,,0.421,0.741,0.429,4.71,129,203,65.3,2459158.273,233,1.55,1.05
2002 AN129,(2002 AN129),True,False,3102777,,0.525,1.82,0.864,0.288,94,74.4,344,2452328.603,896,0.402,2.77
2016 EL1,(2016 EL1),True,False,3745052,,0.658,1.79,0.611,4.01,165,87.2,341,2459247.618,874,0.412,2.97
2018 XX2,(2018 XX2),True,False,3836858,,0.555,2.01,0.894,7.35,77,316,267,2459468.959,1040,0.346,3.13
2007 FP3,(2007 FP3),True,False,3372213,,0.404,1.41,0.843,0.237,352,120,30.3,2454128.923,614,0.587,1.98
2017 CY32,(2017 CY32),True,False,3769468,,0.66,2.13,0.725,3.85,132,72.3,346,2457829.865,1130,0.317,3.53
2017 FW158,(2017 FW158),True,False,3774033,,0.664,2.36,0.791,0.0803,9.57,107,11.4,2457790.510,1320,0.273,3.92
2016 DK2,(2016 DK2),True,False,3744854,,0.713,2.41,0.689,0.884,159,283,11.8,2457401.931,1360,0.264,4.12
2016 PA79,(2016 PA79),True,False,3759679,,0.56,2.67,1.17,1.04,1.35,323,360,2457611.452,1590,0.226,4.16
2017 OO1,(2017 OO1),True,False,3778084,,0.138,0.894,0.771,20,298,186,183,2459352.664,309,1.17,1.02
2017 UL5,(2017 UL5),True,False,3788027,,0.563,2.26,0.989,3.4,31,348,3.54,2458040.271,1240,0.29,3.54
2019 NL4,(2019 NL4),True,False,3843178,,0.579,2.04,0.861,7.36,286,301,14.4,2458627.824,1070,0.337,3.23
2017 YM14,(2017 YM14),True,False,3797761,,0.706,2.37,0.698,2.34,279,102,12.3,2458070.986,1340,0.269,4.05
2007 EH26,(2007 EH26),True,False,3370499,,0.672,1.91,0.627,5.65,356,269,340,2454225.426,966,0.373,3.2
2018 GD2,(2018 GD2),True,False,3802441,,0.174,1.03,0.852,9.67,22.2,271,131,2459061.625,382,0.942,1.21
2013 CY,(2013 CY),True,False,3625730,,0.134,1.11,0.965,0.78,303,150,282,2459293.585,429,0.838,1.26
2017 UQ7,(2017 UQ7),True,False,3788088,,0.419,1.08,0.628,8.51,210,74.5,343,2459220.188,411,0.875,1.54
2020 VV6,(2020 VV6),True,False,54091659,,0.571,1.52,0.654,2.66,59.1,266,27.3,2459116.480,686,0.524,2.39
2019 JY2,(2019 JY2),True,False,3841761,,0.273,1.09,0.792,0.984,226,268,212,2459371.274,415,0.867,1.39
2020 SC,(2020 SC),True,False,54054407,,0.676,1.61,0.521,5.21,355,257,25.1,2459058.370,747,0.482,2.7
2018 FG1,(2018 FG1),True,False,3801993,,0.296,1.07,0.756,6.55,1.02,272,108,2459078.373,406,0.886,1.39
2012 UE,(2012 UE),True,False,3611408,,0.575,1.9,0.81,1.16,28.1,59.3,343,2456261.442,960,0.375,3
2014 HB177,(2014 HB177),True,False,3670096,,0.195,1.11,0.898,3.47,45.3,252,173,2458994.394,430,0.837,1.33
2018 HJ2,(2018 HJ2),True,False,3819571,,0.616,2.49,0.955,3.12,169,7.99,251,2459635.081,1430,0.251,4.02
2014 HV2,(2014 HV2),True,False,3668976,,0.577,2.08,0.879,4.25,39.5,229,346,2456813.075,1090,0.329,3.28
2017 HY3,(2017 HY3),True,False,3774101,,0.6,2.32,0.928,22.1,36.5,218,2.29,2459192.278,1290,0.278,3.72
2008 UM1,(2008 UM1),True,False,3432678,,0.682,2.34,0.742,5.28,209,112,11.6,2454719.649,1300,0.276,3.93
2011 EL40,(2011 EL40),True,False,3559595,,0.706,2.44,0.716,1.35,188,268,11.9,2455586.461,1390,0.259,4.16
2019 VB5,(2019 VB5),True,False,3892775,,0.204,1.02,0.811,0.311,55,85.6,316,2459246.280,376,0.958,1.23
2017 UL52,(2017 UL52),True,False,3791306,,0.17,0.863,0.716,10.5,27.2,192,164,2457913.728,293,1.23,1.01
2015 KH158,(2015 KH158),True,False,3720900,,0.524,2.02,0.964,4.96,252,42.7,345,2457211.747,1050,0.342,3.08
2016 FC1,(2016 FC1),True,False,3747990,,0.64,2.06,0.743,1.25,353,112,15.3,2457418.694,1080,0.333,3.38
2012 RU16,(2012 RU16),True,False,3608668,,0.613,2.49,0.963,0.404,311,357,10.5,2456149.877,1430,0.251,4.01
2012 VV76,(2012 VV76),True,False,3617716,,0.665,2.56,0.856,1.06,53.6,309,9.4,2456210.561,1490,0.241,4.25
2019 TD,(2019 TD),True,False,3873159,,0.501,1.88,0.938,3.24,187,144,181,2459669.844,942,0.382,2.82
2016 UB26,(2016 UB26),True,False,3761481,,0.704,2.54,0.751,4.69,13.4,87.7,349,2457730.494,1470,0.244,4.32
2008 UC202,(2008 UC202),True,False,3435541,,0.0687,1.01,0.941,7.45,37.3,91.9,261,2459302.445,371,0.97,1.08
2019 JK,(2019 JK),True,False,3841682,,0.634,1.98,0.727,13.6,220,287,226,2459578.987,1020,0.353,3.24
2008 JD33,(2008 JD33),True,False,3410622,,0.646,2.91,1.03,5.93,65.8,144,4.03,2454581.204,1810,0.199,4.79
2020 TD5,(2020 TD5),True,False,54062094,,0.535,2.11,0.982,6.81,15,339,7.39,2459115.469,1120,0.321,3.25
2008 CM74,(2008 CM74),True,False,3402366,,0.147,1.09,0.929,0.855,321,243,61.7,2459129.394,415,0.867,1.25
2008 EK68,(2008 EK68),True,False,3405614,,0.396,1.48,0.896,3.95,344,129,21.9,2454490.457,659,0.546,2.07
2009 VT1,(2009 VT1),True,False,3475468,,0.503,1.98,0.987,0.269,217,178,353,2459220.263,1020,0.353,2.98
2019 GK3,(2019 GK3),True,False,3840842,,0.138,1.11,0.956,1.71,194,305,208,2459380.940,427,0.843,1.26
2003 UM3,(2003 UM3),True,False,3163743,,0.439,1.37,0.768,1.51,17.6,285,35.8,2452872.358,585,0.615,1.97
2005 UC3,(2005 UC3),True,False,3297202,,0.545,2.18,0.991,0.252,27,330,9.89,2453639.266,1170,0.307,3.36
2014 OP2,(2014 OP2),True,False,3674887,,0.618,2.45,0.937,2.05,122,142,247,2459642.644,1400,0.256,3.97
2004 XO63,(2004 XO63),True,False,3264085,,0.609,2.55,0.998,1.88,265,184,360,2453359.004,1490,0.242,4.11
2019 CY2,(2019 CY2),True,False,3838193,,0.685,2.88,0.906,0.938,323,220,354,2458554.822,1790,0.202,4.86
2009 MU,(2009 MU),True,False,3463370,,0.61,2.29,0.891,7.29,94,225,104,2458835.281,1260,0.285,3.68
