"Object Designation  ","Year Range  ","Potential Impacts  ","Impact Probability (cumulative)","Vinfinity (km/s)","H (mag)","Estimated Diameter (km)","Palermo Scale (cum.)","Palermo Scale (max.)","Torino Scale (max.)",""
"(2019 GP21)","2039-2119","98","3.5e-5","10.80","29.7","0.004","-6.86","-7.58","0","bK19G21P"
"(2020 SN6)","2048-2118","80","1.6e-5","5.52","28.8","0.006","-6.86","-7.83","0","bK20S06N"
"(2017 UM52)","2039-2117","146","2.7e-5","2.45","29.5","0.004","-6.86","-7.53","0","bK17U52M"
"(2020 QC)","2038-2041","2","5.6e-7","18.75","27.5","0.011","-6.86","-6.98","0","bK20Q00C"
"(2018 BP6)","2074-2074","1","7.3e-8","14.22","24.6","0.042","-6.87","-6.87","0","bK18B06P"
"(2014 LJ)","2055-2116","40","1.5e-5","3.61","28.5","0.007","-6.87","-7.79","0","bK14L00J"
"(2006 UC64)","2069-2085","4","8.7e-8","20.09","25.0","0.034","-6.87","-7.18","0","bK06U64C"
"(2006 UQ216)","2061-2116","7","4.3e-6","3.73","27.3","0.012","-6.88","-7.17","0","bK06UL6Q"
"(2016 JN38)","2039-2116","101","6.5e-6","19.52","29.1","0.005","-6.88","-7.77","0","bK16J38N"
"(2016 JB29)","2090-2090","1","1.7e-7","8.56","24.7","0.039","-6.88","-6.88","0","bK16J29B"
"(2016 SU2)","2102-2115","12","4.4e-6","12.73","27.7","0.010","-6.88","-7.26","0","bK16S02U"
"(2017 BG92)","2072-2118","6","1.3e-5","5.33","28.7","0.006","-6.88","-6.97","0","bK17B92G"
"(2021 DG1)","2120-2120","1","5.3e-9","22.00","22.1","0.130","-6.88","-6.88","0","bK21D01G"
"(2017 HZ4)","2091-2106","2","8.2e-7","5.91","25.9","0.023","-6.88","-7.16","0","bK17H04Z"
"(2020 DG4)","2093-2120","15","1.0e-5","6.89","28.2","0.008","-6.88","-7.37","0","bK20D04G"
"(2020 GY2)","2093-2093","1","3.3e-8","15.69","23.6","0.064","-6.88","-6.88","0","bK20G02Y"
"(2020 YA2)","2111-2120","12","1.3e-5","4.93","28.2","0.008","-6.89","-7.35","0","bK20Y02A"
"(2013 UR1)","2050-2060","4","8.5e-7","21.69","27.8","0.009","-6.90","-6.96","0","bK13U01R"
"(2007 EN88)","2094-2104","3","1.0e-6","12.16","26.4","0.017","-6.90","-7.06","0","bK07E88N"
"(2014 CE)","2111-2117","4","2.0e-6","13.02","27.0","0.013","-6.91","-7.08","0","bK14C00E"
"(2019 DG1)","2118-2118","1","2.1e-6","7.29","26.7","0.016","-6.91","-6.91","0","bK19D01G"
"(2015 VP64)","2087-2087","2","3.5e-6","20.96","28.3","0.007","-6.91","-6.92","0","bK15V64P"
"(2019 QE7)","2097-2119","8","1.7e-6","10.17","26.7","0.015","-6.91","-7.29","0","bK19Q07E"
"(2013 QM48)","2071-2116","19","3.8e-6","7.47","27.4","0.011","-6.92","-7.62","0","bK13Q48M"
"(2008 WO2)","2065-2111","9","4.9e-5","6.11","29.8","0.004","-6.93","-7.30","0","bK08W02O"
"(2018 FY2)","2046-2102","4","1.8e-7","19.37","25.7","0.024","-6.93","-7.21","0","bK18F02Y"
"(2014 QN266)","2078-2078","1","9.0e-7","2.85","26.2","0.019","-6.93","-6.93","0","bK14QQ6N"
"(2017 QT1)","2050-2069","3","3.1e-7","20.02","26.8","0.015","-6.94","-7.01","0","bK17Q01T"
"(2020 TD8)","2045-2107","7","1.5e-6","7.40","26.9","0.014","-6.94","-7.21","0","bK20T08D"
"(2020 VA5)","2078-2082","2","1.6e-6","11.14","27.2","0.012","-6.94","-6.95","0","bK20V05A"
"(2012 CR)","2025-2025","1","1.2e-10","14.18","21.0","0.210","-6.95","-6.95","0","bK12C00R"
"(2020 VH5)","2101-2101","4","2.5e-5","7.42","29.2","0.005","-6.95","-7.15","0","bK20V05H"
"(2018 PU23)","2072-2097","4","8.0e-6","1.77","28.1","0.008","-6.96","-7.36","0","bK18P23U"
"(2015 VK1)","2103-2109","2","7.7e-7","14.73","26.5","0.017","-6.96","-7.12","0","bK15V01K"
"(2021 FP2)","2074-2120","32","6.8e-5","8.76","30.1","0.003","-6.96","-7.11","0","bK21F02P"
"(2012 BW13)","2086-2111","8","2.0e-6","11.68","27.2","0.012","-6.97","-7.35","0","bK12B13W"
"(2013 BR15)","2100-2110","3","1.6e-7","14.08","25.1","0.032","-6.97","-7.11","0","bK13B15R"
"(2014 HD198)","2025-2115","78","6.7e-6","17.34","29.6","0.004","-7.00","-7.45","0","bK14HJ8D"
"(2013 RR43)","2050-2057","2","6.0e-8","18.99","25.4","0.028","-7.00","-7.08","0","bK13R43R"
"(2018 FQ3)","2070-2114","14","9.6e-6","10.84","28.6","0.006","-7.00","-7.53","0","bK18F03Q"
"(2020 QN4)","2065-2117","24","1.1e-5","7.53","28.6","0.006","-7.00","-7.80","0","bK20Q04N"
"(2021 CF1)","2073-2077","2","2.9e-7","14.16","26.0","0.021","-7.00","-7.01","0","bK21C01F"
"(2019 NK1)","2089-2118","49","6.3e-5","8.05","30.1","0.003","-7.01","-7.46","0","bK19N01K"
"(2021 CA6)","2070-2121","16","1.0e-5","6.38","28.5","0.007","-7.01","-7.50","0","bK21C06A"
"(2000 SZ162)","2070-2109","6","1.9e-6","4.16","27.1","0.013","-7.02","-7.37","0","bK00SG2Z"
"(2020 YG2)","2097-2105","2","1.3e-7","9.36","24.7","0.039","-7.02","-7.12","0","bK20Y02G"
"(2021 EZ3)","2108-2116","2","2.8e-7","8.28","25.2","0.031","-7.03","-7.07","0","bK21E03Z"
"(2017 KQ27)","2117-2117","1","4.7e-7","10.96","25.8","0.023","-7.03","-7.03","0","bK17K27Q"
"(2018 XF2)","2119-2119","1","8.3e-7","9.91","26.2","0.019","-7.03","-7.03","0","bK18X02F"
"(2006 HE2)","2081-2103","3","1.1e-6","5.03","26.5","0.017","-7.04","-7.29","0","bK06H02E"
"(2006 YE)","2082-2095","4","2.4e-6","6.01","27.3","0.012","-7.04","-7.32","0","bK06Y00E"
